Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
lineItem,22a1d730-1d10-11f1-8eb2-bb11c09f1cf0,"CICIA",1,13.50,PLN,23.00,GOODS,,,
lineItem,22a1d731-1d10-11f1-8eb2-bb11c09f1cf0,,2,9.65,PLN,23.00,,,,
lineItem,06d75fd0-1c9c-11f1-8eb7-332e258f68ed,,1,7.99,PLN,,,,,
lineItem,06d75fd2-1c9c-11f1-8eb7-332e258f68ed,"NCQRO",1,10.20,PLN,23.00,GOODS,,,
lineItem,06d75fd1-1c9c-11f1-8eb7-332e258f68ed,"NCSRO",1,29.45,PLN,23.00,GOODS,,,
lineItem,a0fbd3d0-1c91-11f1-8efc-393d9b6411b6,,5,9.65,PLN,23.00,,,,
lineItem,a0fbd3d1-1c91-11f1-8efc-393d9b6411b6,"SHTE",1,17.03,PLN,23.00,GOODS,,,
lineItem,63e7c994-1c8c-11f1-8d3a-07fe082a8438,,1,23.99,PLN,23.00,,,,
lineItem,63e7c995-1c8c-11f1-8d3a-07fe082a8438,"SHRO",2,16.13,PLN,,,,,
lineItem,c6aed680-1c7e-11f1-9e82-2b21baa9b6a7,,4,12.00,PLN,23.00,,,,
lineItem,f18607c0-1c6a-11f1-b915-cfe59c3519e5,"NCDAR",2,18.39,PLN,23.00,GOODS,,,
lineItem,f18607c1-1c6a-11f1-b915-cfe59c3519e5,,4,15.72,PLN,23.00,,,,
lineItem,0f172b40-1c64-11f1-9749-279e2233d885,"BSAL",1,23.39,PLN,23.00,GOODS,,,
lineItem,46a00030-1c48-11f1-950a-1d0f675944be,,5,9.65,PLN,23.00,,,,
lineItem,5c24a670-1c3b-11f1-8b7b-7598bb1a9895,,2,23.98,PLN,23.00,,,,
lineItem,90b6fab0-1bfe-11f1-abd3-8fb2959aa804,,1,15.72,PLN,23.00,,,,
lineItem,90b6fab1-1bfe-11f1-abd3-8fb2959aa804,,1,61.59,PLN,23.00,,,,
lineItem,63a6a450-1bfc-11f1-98aa-2356adf844d7,"CTSR6N",3,18.94,PLN,23.00,GOODS,,,
